codigo;nombre;acronimo;curso;semestre;tipo;creditos
93001089;SISTEMAS DE INFORMACIÓN Y BASES DE DATOS;;1;1S;opt;3
93001090;BLOCKCHAIN: DESARROLLO DE APLICACIONES;;1;1S;opt;3
93001091;FUNDAMENTOS DE LA COMPUTACIÓN EN LA NUBE;;1;1S;opt;3
93001092;ARQUITECTURA DE SERVICIOS PARA IOT;;1;2S;opt;3
93001093;BLOCKCHAIN: FUNDAMENTOS Y ARQUITECTURAS;;1;2S;opt;3
93001094;PRÁCTICAS EXTERNAS 6;;1;I;opt;6
93001095;PRÁCTICAS EXTERNAS 3A;;1;I;opt;3
93001096;PRÁCTICAS EXTERNAS 3B;;1;I;opt;3
93001097;SEMINARIOS PROFESIONALES;;1;A;opt;3
93001098;MINI-PROYECTOS;;1;A;opt;3
93001099;TRABAJO FIN DE MÁSTER;;1;I;obl;12
95000001;ALGEBRA;ÁLGE;1;1S;bas;6
95000002;CALCULO;CÁLC;1;1S;bas;6
95000003;FÍSICA GENERAL I;FIS1;1;1S;bas;6
95000004;INTRODUCCIÓN A LA INGENIERIA DE TELECOMUNICACIÓN;INIT;1;1S;obl;3
95000005;FUNDAMENTOS DE  LOS SISTEMAS TELEMATICOS;FTEL;1;1S;obl;4.5
95000006;FISICA GENERAL 2;FIS2;1;2S;obl;4.5
95000007;ANÁLISIS VECTORIAL;AVEC;1;2S;bas;6
95000008;INTRODUCCIÓN AL ANÁLISIS DE CIRCUITOS;IACR;1;1S;bas;4.5
95000009;INTRODUCCIÓN A LA ELECTRÓNICA;INEL;1;2S;bas;4.5
95000010;PROGRAMACION;PRG;1;2S;bas;6
95000011;INGLÉS I. ENGLISH FOR ACADEMICA AND PROFESSIONAL COMMUNICATION I -  READING AND WRITING SKILLS;IGL1;2;1S-2S;obl;3
95000012;FUNDAMENTOS DE GESTIÓN EMPRESARIAL;FGST;1;2S;bas;4.5
95000013;ELECTROMAGNETISMO;ELMG;2;1S;bas;4.5
95000014;ELECTRONICA E INSTRUMENTACION BASICAS;EINB;2;1S;bas;4.5
95000015;SEÑALES Y SISTEMAS;SSIT;2;1S;bas;6
95000016;SEÑALES ALEATORIAS;SALT;2;1S;obl;4.5
95000017;INGLÉS II. ENGLISH FOR ACADEMICA AND PROFESSIONAL COMMUNICATION II – LISTENING AND SPEAKING SKILL;IGL2;2;1S-2S;obl;3
95000018;ELECTRÓNICA DIGITAL;EDIG;2;1S;obl;3
95000019;MÉTODOS MATEMÁTICOS;MMAT;1;2S;bas;4.5
95000020;ELECTRÓNICA ANALÓGICA;ELAN;2;2S;obl;3
95000021;TEORÍA DE LA COMUNICACIÓN;TECM;2;2S;obl;6
95000022;CAMPOS Y ONDAS EN TELECOMUNICACIÓN;COTE;2;2S;obl;4.5
95000023;REDES Y SERVICIOS DE TELECOMUNICACIÓN;RSTC;2;2S;obl;6
95000024;ANÁLISIS Y DISEÑO DEL SOFTWARE;ADSW;2;2S;obl;4.5
95000025;CIRCUITOS ELECTRÓNICOS;CELT;3;1S;obl;3
95000026;SISTEMAS DIGITALES I;SDG1;3;1S;obl;4.5
95000027;TEORÍA DE LA INFORMACIÓN;TINF;3;1S;obl;4.5
95000028;TRATAMIENTO DIGITAL DE SEÑALES;TDSÑ;3;1S;obl;6
95000029;ANÁLISIS Y DISEÑO DE CIRCUITOS;ADCT;2;2S;obl;3
95000030;SISTEMAS DE TRANSMISIÓN;STRA;3;1S;obl;4.5
95000031;REDES DE ORDENADORES;RDOR;3;1S;obl;4.5
95000032;ORGANIZACIÓN DE EMPRESAS;ORGE;3;2S;obl;4.5
95000033;SISTEMAS DIGITALES II;SDG2;3;2S;obl;3
95000034;SISTEMAS DE ENERGIA;ENRG;3;2S;obl;4.5
95000035;RADIACION Y PROPAGACION;RDPR;3;1S;obl;3
95000036;COMUNICACIONES ÓPTICAS;COPT;3;1S-2S;obl;4.5
95000037;ELECTRÓNICA DE COMUNICACIONES;ECOM;3;2S;obl;4.5
95000038;COMPUTACIÓN EN RED;CORE;3;2S;obl;4.5
95000040;MICROONDAS;MICR;4;1S;opt;4.5
95000041;RADIOCOMUNICACIONES;RCOM;4;1S;opt;6
95000042;TRANSMISIÓN DIGITAL;TRDG;4;1S;opt;6
95000043;ANTENAS;ANTE;4;1S;opt;4.5
95000044;COMUNICACIONES MÓVILES;CMOV;4;2S;opt;6
95000045;SISTEMAS DE RADIODETERMINACIÓN;RDET;4;2S;opt;4.5
95000046;SISTEMAS DE TELECOMUNICACIÓN;STEL;4;1S;opt;6
